"DT","Season","Q_cfs","Q_cms","Temp","DOC.GPP","DOC0.2","DOC0.02","DOCC","Fe0.2mgL","Fe0.02mgL","FeCmgL","C1_0.2","C2_0.2","C3_0.2","C4_0.2","C5_0.2","C1_0.2_per","C2_0.2_per","C3_0.2_per","C4_0.2_per","C5_0.2_per"
2018-04-27 09:00:00,"Spring",57600,1631.232,NA,NA,2.826,NA,NA,0.038,NA,NA,0.371881316073123,0.245426435572195,0.241124138216978,0.0887163372390255,0.129920190064191,34.5271767462824,22.7865223472132,22.3870772157201,8.23683396756703,12.0623897232172
2018-05-10 11:10:00,"Spring",28100,795.792,NA,NA,4.267,3.881,0.386000000000001,0.05,0.018,0.032,0.354786996946527,0.234677662608585,0.224357707725923,0.0839680913508727,0.114060138702259,35.0631800664301,23.1929163482108,22.1730073903221,8.29846734014844,11.2724288548886
2018-05-24 10:00:00,"Spring",12500,354,NA,0.839117563469117,2.85,2.755,0.0950000000000002,0.128,0.01,0.118,0.377527109774357,0.286286816981611,0.325422061794889,0.0711912176673519,0.175002081908777,30.5583745992229,23.1730637870538,26.3408084074367,5.76246802237332,14.1652851839133
2018-05-30 09:30:00,"Spring",7420,210.1344,20.7,1.49773959907899,2.771,2.777,-0.00600000000000023,0.108,0.003,0.105,0.350328157310153,0.28177248389169,0.307917692451241,0.0633522610487678,0.173575071608849,29.7658734245826,23.9409933658998,26.1624390373475,5.38276853912503,14.7479256330451
2018-06-08 09:45:00,"Spring",8120,229.9584,20.5,2.46798992541245,2.721,2.751,-0.0299999999999998,0.108,0.013,0.095,0.323099839583393,0.279881250742564,0.292731873117022,0.0633306214234892,0.143748123601779,29.2983559000613,25.3793394159005,26.5446204273353,5.74275458703385,13.0349296696692
2018-06-20 10:15:00,"Spring",6160,174.4512,25.03,2.77797822927106,4.4,4.174,0.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-09 13:00:00,"Summer",5270,149.2464,27.51,3.34874957897139,3.195,3.144,0.0509999999999997,0.098,0.023,0.075,0.301789374857013,0.276928398459363,0.336381058370546,0.0565940761214575,0.170194201846013,26.4290026838427,24.2518193014,29.4583462346253,4.95618836949534,14.9046434106367
2018-07-18 09:15:00,"Summer",9090,257.4288,26.2,NA,3.502,3.271,0.231,0.084,0.001,0.083,0.367934654455639,0.365427665596793,0.432385817349897,0.0705204805013735,0.281335994729947,24.2444343798564,24.0792405712731,28.4913352101332,4.64682829205377,18.5381615466836
2018-08-01 11:00:00,"Summer",9500,269.04,25,NA,3.859,4.06,-0.201,0.179,0.038,0.141,0.486032264446382,0.360896634821928,0.42804916429171,0.102663971570484,0.188664911817051,31.0304608808363,23.0412458761834,27.3285619479566,6.55452443536417,12.0452068596596
2018-08-15 09:00:00,"Summer",26000,736.32,22.4,NA,6.049,5.981,0.0680000000000005,0.253,0.088,0.165,0.925448910625761,0.547403574472099,0.707950338010884,0.2313168559364,0.256367114109228,34.6806629509979,20.513632515491,26.5300296717612,8.66846545876903,9.60720940298082
2018-08-29 08:00:00,"Summer",11200,317.184,24.6,NA,4.732,4.763,-0.0309999999999997,0.258,0.064,0.194,0.692919052184833,0.483476364629379,0.575400100136426,0.149060580442813,0.146339576471876,33.8472311675282,23.6165194564193,28.1067465842192,7.28120825701876,7.1482945348146
2018-09-12 08:30:00,"Summer",15100,427.632,20.4,0.722169505170094,3.414,3.373,0.0409999999999999,0.145,0.012,0.133,0.402133600629209,0.340103491231804,0.358319042979252,0.0817736787435208,0.0717364329653002,32.0663762170294,27.1200578253098,28.572576924486,6.52068253719004,5.72030649598481
2018-09-25 09:30:00,"Fall",11300,320.016,16.5,0.46579798628559,6.483,6.737,-0.254,0.243,0.112,0.131,0.984192479361666,0.562105163935327,0.712010348576451,0.249808960254341,0.274570568078539,35.3684153256522,20.2000821096021,25.5871470801601,8.97725520527791,9.86710027930771
2018-10-10 09:30:00,"Fall",12900,365.328,16.8,0.618504925247517,3.786,3.604,0.182,0.16,0.055,0.105,0.614529353496735,0.336139553050793,0.357544477627797,0.131532091500108,0,42.6831939310967,23.3471511965057,24.8338670736271,9.1357877987706,0
2018-10-24 10:15:00,"Fall",11500,325.68,9.62,0.563108482745113,3.82,3.664,0.156,0.153,0.038,0.115,0.529705363688542,0.361425175304575,0.289859939221605,0.118741271074543,0.149779729036476,36.5437163905993,24.9342748028487,19.9970778814672,8.19181309358758,10.3331178314972
2018-11-07 10:30:00,"Fall",62700,1775.664,8.81,0.44095196819525,4.587,4.581,0.00599999999999934,0.093,0.05,0.043,0.660917980656195,0.403431218861148,0.316984524141581,0.174720433755604,0.129765567598033,39.2045466576369,23.9308635956399,18.802990583066,10.3641232311659,7.69747593249131
2018-12-04 10:45:00,"Fall",39700,1124.304,3.99,0.294643391130505,2.986,2.904,0.0820000000000003,0.095,0.038,0.057,0.409740979448634,0.261538185961655,0.220629792215831,0.101588642933386,0.113519346508575,37.0130719799572,23.6254907076477,19.9301187574559,9.17679202675642,10.2545265281827
2018-12-19 10:30:00,"Fall",15900,450.288,0.8,0.27466282849845,2.779,2.75,0.0289999999999999,0.112,0.038,0.074,0.371046208418205,0.25823600514804,0.205078875411853,0.0818772513609121,0.14098306651036,35.0963578692529,24.4259152789585,19.3979117414023,7.74456994821121,13.3352451621751
2019-01-16 13:55:00,"Winter",15400,436.128,0.27,0.613827827123341,2.185,2.2,-0.0150000000000001,0.107,0.026,0.081,0.302849010600077,0.226258149641536,0.159716765693467,0.0672626176707909,0.00796605580984782,39.6371939355575,29.6129022811464,20.9038966447604,8.80340145720694,1.04260568132869
2019-01-29 09:45:00,"Winter",31300,886.416,0.13,0.424279025902239,2.578,2.504,0.0739999999999998,0.091,0.031,0.06,0.358319778237642,0.238066294307351,0.171541095348014,0.090610490042644,0.0280673719429706,40.414814507278,26.8514486478768,19.3480850623528,10.2199386411161,3.16571314137628
2019-02-12 08:40:00,"Winter",28200,798.624,0.1,0.354154757254685,2.283,2.427,-0.144,0.06,0.012,0.048,0.284788679863798,0.189336158833072,0.134222714770794,0.0653457289152698,0,42.2727504208542,28.1042076244797,19.9234159343303,9.69962602033586,0
2019-02-27 10:45:00,"Winter",13800,390.816,0.16,0.168242999886057,2.345,2.153,0.192,0.083,0.014,0.069,0.282128643665968,0.209188345184034,0.167871356045687,0.0652444483925773,0.127178096051016,33.1288205913919,24.5638410455662,19.7122134236599,7.66129804225459,14.9338268971274
2019-03-13 08:15:00,"Winter",10500,297.36,2.22,1.14808495590691,2.205,2.092,0.113,0.093,0.017,0.076,0.270254323368887,0.16684430327291,0.154379423921127,0.0550001151527983,0.0221551688410123,40.4189126388755,24.9530339948603,23.0888015811344,8.22575129151468,3.31350049361507
2019-03-27 08:30:00,"Spring",21300,603.216,3.43,1.20007539141835,2.249,2.075,0.174,0.069,0.019,0.05,0.271896085926182,0.195970706842297,0.165682268362722,0.060775055732086,0.132726736158669,32.8753770016321,23.6951217843789,20.0328997615245,7.34840614818549,16.048195304279
2019-04-10 10:15:00,"Spring",54400,1540.608,4.91,0.762318182368537,2.519,2.347,0.172,0.038,0.021,0.017,0.331236169312579,0.223355968079445,0.188891725098563,0.0791539727302713,0.0734570652699821,36.9644073558663,24.9254814369662,21.0794331041385,8.83321316602899,8.19746493700005
2019-05-08 09:30:00,"Spring",35100,994.032,12.32,1.38140905390865,2.899,NA,NA,0.069,NA,NA,0.396764110676578,0.253457185021247,0.276506845862684,0.0913978767390451,0.138242991130466,34.3112023446689,21.9183654140106,23.9116444325134,7.90386770950352,11.9549200993035
2019-05-22 09:30:00,"Spring",42400,1200.768,15.18,0.510883003026406,3.073,NA,NA,0.069,NA,NA,0.375255108091079,0.250204833690361,0.280322630864909,0.0801706965204072,0.119790359224166,33.9368998795092,22.6277436528808,25.3515031574574,7.25038738292995,10.8334659272227
2019-06-05 09:15:00,"Spring",15900,450.288,17.16,0.867335977560211,3.259,3.027,0.232,0.11,0.014,0.096,0.402518439146454,0.282379313655984,0.317057807076256,0.0854833645842258,0.153384863568071,32.4396133463232,22.7574065213627,25.552202507286,6.88924288918377,12.3615347358444
2019-06-19 08:45:00,"Spring",13400,379.488,19.46,NA,3.035,2.99,0.0449999999999999,0.112,0.019,0.093,0.355770258261247,0.277187116477447,0.299405376727134,0.0726685788362294,0.0313428768559129,34.3283589850108,26.745852469406,28.8896978194959,7.01180889434783,3.02428183173951
2019-07-03 06:00:00,"Summer",15300,433.296,23.03,2.28457544544896,3.182,3.043,0.139,0.124,0.01,0.114,0.360710508130346,0.281709684705862,0.305777110762023,0.0723877195966952,0.1010591354989,32.1590858682311,25.1157804837069,27.2615078848274,6.45371520331296,9.00991055992171
2019-07-17 08:15:00,"Summer",8970,254.0304,26.77,2.48206305426907,2.928,2.879,0.0489999999999999,0.11,0.005,0.105,0.33562104977222,0.307955138713606,0.351197040544105,0.0596708230580536,0.191719077742226,26.9323527344248,24.7122652999343,28.18226860812,4.78836370854462,15.3847496489763
2019-07-31 10:15:00,"Summer",6980,197.6736,28.49,2.98951237259904,3.626,3.241,0.385,0.107,0,0.107,0.399985757194545,0.350238748972283,0.369868354851922,0.0717255446452722,0.235070898001835,28.0320103435446,24.545614580786,25.9213068527239,5.02670700950665,16.4743612134388
2019-08-14 08:15:00,"Summer",4950,140.184,24.53,4.20760838671277,3.008,3.119,-0.111,0.072,0.005,0.067,0.317501422756705,0.305679312284177,0.318392421999376,0.0581123543653925,0.130924260560588,28.0823172264414,27.0366770094841,28.1611241910338,5.13991262116279,11.5799689518779
2019-08-28 08:45:00,"Summer",5210,147.5472,23.6,3.86517464365799,2.854,2.78,0.0740000000000003,0.05,0,0.05,0.272500514895729,0.270811229810756,0.292032097833693,0.050184144023362,0.240433173041938,24.2015910203519,24.0515605267987,25.9362496958614,4.45700489712681,21.3535938598613
2019-09-11 08:30:00,"Summer",3700,104.784,21.4,5.17895484525912,2.963,2.854,0.109,0.052,0,0.052,0.286778596869663,0.285029245230848,0.297860632411602,0.0512564849690068,0.176462233610228,26.1328543539683,25.9734437421234,27.1427108213762,4.67077484516809,16.080216237364
2019-09-25 08:45:00,"Fall",4320,122.3424,20.8,4.20910894432865,3.064,2.966,0.0979999999999999,0.033,0.005,0.028,0.268586809638857,0.270193149493001,0.277743964169308,0.047261025638305,0.210482884134012,25.0018478976913,25.1513767027704,25.8542567894528,4.39937082571774,19.5931477843677
2019-10-09 08:50:00,"Fall",12600,356.832,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-23 09:00:00,"Fall",13200,373.824,12.6,NA,4.93,4.604,0.326,0.119,0.031,0.088,0.664767278241684,0.455542237092217,0.378246612235831,0.142631612390036,0.22682609348917,35.5868498582966,24.3864488011389,20.2485980276425,7.63546874418448,12.1426345687375
2019-11-19 10:00:00,"Fall",10000,283.2,3.4,NA,3.864,3.774,0.0899999999999999,0.138,0.029,0.109,0.468568480503996,0.333472387717884,0.250945991245614,0.0985416908413397,0.143672928832224,36.1772657034593,25.7467577893004,19.3750544055921,7.60821327247787,11.0927088291703
2019-12-05 13:30:00,"Fall",16600,470.112,1,NA,3.495,3.489,0.00600000000000023,0.088,0.036,0.052,0.450827674448896,0.302783938546226,0.218743932625326,0.103289407450888,0.103377917659216,38.2373985815518,25.6809215548646,18.5529846838159,8.76059404911181,8.7681011306558
2019-12-19 10:00:00,"Fall",33200,940.224,0.2,NA,3.329,3.245,0.0840000000000001,0.06,0.029,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
